Neighborhood_NWAmes,MasVnrType_None,SaleCondition_tipo3,GarageType_Attchd,Foundation_tipo1,GarageType_missing,Neighborhood_NAmes,Neighborhood_Somerst,Neighborhood_NoRidge,GarageType_Detchd,LotConfig_CulDSac,Electrical_unify,ExterCond_grade,HalfBath,Condition2_unify,Neighborhood_Edwards,Neighborhood_SawyerW,Neighborhood_SWISU,RoofMatl_unify,BsmtFinType2_Unf,Utilities_unify,1Story,LotConfig_FR2,GarageYrBlt_miss_num,Condition1_tipo2,BsmtHalfBath_miss_num,Neighborhood_Timber,BsmtQual_grade,BsmtFinType1_GLQ,BsmtCond_grade,KitchenQual_grade,Neighborhood_IDOTRR,Neighborhood_Mitchel,2.5Fin,GarageCond_grade,Alley_missing,Condition1_tipo4,BsmtFinSF1_miss_num,Alley_Pave,SaleCondition_tipo2,Neighborhood_Blueste,MSSubClass,CentralAir_Y,Neighborhood_Gilbert,MasVnrType_Stone,YearRemodAdd,MSZoning_FV,FireplaceQu_grade,BldgType_Duplex,Neighborhood_BrkSide,BsmtFinType2_Rec,RoofStyle_Mansard,BldgType_Twnhs,MasVnrType_BrkFace,BsmtFullBath_miss_num,MasVnrType_missing,MasVnrArea_miss_num,Neighborhood_MeadowV,BedroomAbvGr,LotArea,BsmtExposure_grade,LotFrontage_miss_num,MSZoning_RM,GrLivArea,LandSlope_Sev,Condition1_tipo1,Neighborhood_NridgHt,BsmtFinType2_GLQ,KitchenAbvGr,Heating_unify,TotRmsAbvGrd,YearBuilt,SFoyer,Neighborhood_Veenker,GarageType_CarPort,LotConfig_Inside,BsmtFinType1_BLQ,PoolArea_binary,BldgType_TwnhsE,GarageQual_grade,TotalBsmtSF_miss_num,BsmtFinType1_LwQ,HeatingQC_grade,2ndFlrSF,Condition1_tipo3,LandSlope_grade,BsmtFinType2_LwQ,RoofStyle_Gambrel,SLvl,GarageType_BuiltIn,Neighborhood_NPkVill,Neighborhood_OldTown,RoofStyle_Shed,BldgType_2fmCon,LotShape_grade,LandContour_grade,LandSlope_Mod,FullBath,GarageCars_miss_num,Condition1_tipo5,OverallCond,Fireplaces,BsmtFinSF2_miss_num,LotConfig_FR3,Neighborhood_ClearCr,Neighborhood_Sawyer,GarageArea_miss_num,Neighborhood_StoneBr,BsmtFinType1_Rec,BsmtFinType2_BLQ,SaleCondition_tipo1,Neighborhood_CollgCr,BsmtFinType1_missing,BsmtFinType1_Unf,OverallQual,MSZoning_RL,GarageType_Basment,BsmtUnfSF_miss_num,RoofStyle_Hip,1.5Unf,YrSold_adj,MSZoning_RH,Street_Pave,RoofStyle_Gable,2Story,2.5Unf,ExterQual_grade,Neighborhood_Crawfor,Neighborhood_BrDale,1stFlrSF,LowQualFinSF,GarageFinish_grade,BsmtFinType2_missing
0,1,False,0,False,0,0,0,0,1,0,1,3,0,1,0,0,0,1,1,1,1,0,1954.0,False,0,0,3,0,3,3,0,0,0,3,1,True,0,0,True,0,20,1,0,0,2000,0,-100,0,0,0,0,0,0,0,0,0.0,0,2,6000,2,50.0,1,901,0,False,0,0,1,1,4,1954,0,0,0,0,0,0,0,2,901,0,5,0,False,3,0,0,0,0,0,1,0,0,4,4,0,1,1,False,7,0,0,0,0,0,281,0,0,0,False,0,0,1,4,0,0,901,0,0,-2,0,1,1,0,0,3,0,0,901,0,2,0
0,0,False,1,True,0,0,0,0,0,1,1,3,0,1,0,0,0,1,1,1,1,0,2006.0,False,0,0,4,0,3,4,0,0,0,3,1,True,0,0,False,0,20,1,1,0,2006,0,4,0,0,0,0,0,1,0,0,27.0,0,3,14859,2,50.0,0,1670,0,False,0,0,1,1,7,2006,0,0,0,0,0,0,0,3,1670,0,5,0,False,3,0,0,0,0,0,0,0,0,3,2,0,2,3,False,5,1,0,0,0,0,690,0,0,0,True,0,0,1,7,1,0,1670,1,0,-4,0,1,0,0,0,4,0,0,1670,0,3,0
0,0,False,0,True,0,0,0,0,0,0,1,3,0,1,1,0,0,1,1,1,0,0,2005.0,False,0,0,4,1,3,3,0,0,0,3,1,True,547,0,False,0,180,1,0,0,2006,0,-100,0,0,0,0,0,1,1,0,82.0,0,2,3675,5,35.0,1,1072,0,False,0,0,1,1,5,2005,1,0,0,1,0,0,1,3,547,0,4,0,False,3,0,0,0,0,0,0,0,0,4,4,0,2,2,False,5,0,0,0,0,0,525,0,0,0,True,0,0,0,6,0,1,0,0,0,-4,0,1,1,0,0,3,0,0,1072,0,4,0
1,0,False,1,False,0,0,0,0,0,0,1,3,1,1,0,0,0,1,0,1,0,0,1973.0,False,0,0,4,0,3,3,0,0,0,3,1,False,859,0,True,0,60,1,0,1,1973,0,3,0,0,0,0,0,0,1,0,240.0,0,3,10382,3,-100.0,0,2090,0,False,0,0,1,1,7,1973,0,0,0,0,0,0,0,3,1107,0,5,983,False,3,0,0,0,0,0,0,0,0,3,4,0,2,2,True,6,2,32,0,0,0,484,0,0,1,False,0,0,0,7,1,0,216,0,0,-1,0,1,1,1,0,3,0,0,1107,0,3,0
0,1,False,0,False,1,0,0,0,0,0,1,3,0,1,0,0,0,1,0,1,0,0,-100.0,False,0,0,4,0,3,3,0,0,0,-100,1,True,131,0,True,0,180,1,0,0,1970,0,-100,0,0,0,0,1,0,1,0,0.0,1,1,1936,4,21.0,1,630,0,False,0,1,1,1,3,1970,1,0,0,1,1,0,0,-100,630,0,4,0,False,3,0,0,0,0,0,0,0,0,4,4,0,1,0,False,6,0,499,0,0,0,0,0,0,0,False,0,0,0,4,0,0,0,0,0,-3,0,1,1,0,0,3,0,0,630,0,1,0
0,0,False,1,False,0,1,0,0,0,0,1,3,1,1,0,0,0,1,1,1,0,0,1965.0,False,0,0,3,0,3,3,0,0,0,3,1,True,454,0,True,0,60,1,0,0,1990,0,2,0,0,0,0,0,1,0,0,176.0,0,3,13600,2,85.0,0,1986,0,False,0,0,1,1,7,1965,0,0,0,1,1,0,0,3,768,0,3,800,False,3,0,0,0,0,0,0,0,0,4,4,0,2,2,False,6,3,0,0,0,0,486,0,0,0,False,0,0,0,7,1,0,314,0,0,-1,0,1,1,1,0,3,0,0,1186,0,2,0
0,0,False,1,False,0,1,0,0,0,0,1,3,0,1,0,0,0,1,1,1,1,0,1959.0,False,0,0,3,0,3,3,0,0,0,3,1,True,0,0,True,0,20,1,0,0,1959,0,-100,0,0,0,0,0,1,1,0,220.0,0,3,8760,2,73.0,0,1194,0,False,0,0,1,1,6,1959,0,0,0,1,0,0,0,3,1194,0,3,0,False,3,0,0,0,0,0,0,0,0,4,4,0,1,1,False,6,0,0,0,0,0,312,0,0,0,False,0,0,1,6,1,0,1194,1,0,0,0,1,0,0,0,3,0,0,1194,0,3,0
0,0,False,0,False,0,1,0,0,1,0,0,3,0,1,0,0,0,1,1,1,1,0,1951.0,False,0,0,3,0,2,3,0,0,0,3,1,True,756,0,True,0,20,0,0,0,1951,0,-100,0,0,0,0,0,1,0,0,44.0,0,4,10680,2,89.0,0,2136,0,False,0,0,1,1,7,1951,0,0,0,1,0,0,0,3,2136,1,3,0,False,3,0,0,0,0,0,0,0,0,4,4,0,2,2,False,3,0,0,0,0,0,528,0,0,0,False,0,0,0,5,1,0,1380,1,0,-4,0,1,0,0,0,3,0,0,2136,0,2,0
0,0,False,1,False,0,0,0,0,0,1,1,3,0,1,0,0,0,1,1,1,1,0,1990.0,False,0,1,4,0,3,3,0,0,0,4,1,True,1053,0,True,0,20,1,0,0,1990,0,3,0,0,0,0,0,1,1,0,54.0,0,2,8049,2,50.0,0,1339,0,False,0,0,1,1,6,1990,0,0,0,0,0,0,0,4,1309,0,3,0,False,3,0,0,0,0,0,0,0,0,3,4,0,2,2,False,5,1,0,0,0,0,484,0,0,0,False,0,0,0,7,1,0,256,1,0,-4,0,1,0,0,0,3,0,0,1339,0,4,0
0,1,False,1,False,0,0,0,0,0,0,1,3,0,1,1,0,0,1,1,1,1,0,1956.0,False,0,0,3,0,3,3,0,0,0,3,1,True,739,0,True,0,20,1,0,0,1956,0,-100,0,0,0,0,0,0,1,0,0.0,0,3,9571,4,68.0,0,1144,0,False,0,0,1,1,6,1956,0,0,0,1,1,0,0,3,1144,0,3,0,False,3,0,0,0,0,0,0,0,0,4,4,0,1,1,False,6,0,0,0,0,0,596,0,0,0,False,0,0,0,5,1,0,405,0,0,0,0,1,1,0,0,3,0,0,1144,0,2,0
0,1,False,1,False,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,1,1,0,1968.0,False,0,0,3,1,3,5,0,0,0,3,1,True,1324,0,False,0,20,1,0,0,2003,0,4,0,0,0,0,0,0,2,0,0.0,0,1,25095,5,65.0,0,1473,1,False,0,0,1,1,5,1968,0,0,0,1,0,0,0,3,1437,0,5,0,False,1,0,0,0,0,0,0,0,0,3,1,0,1,1,False,8,2,0,0,1,0,452,0,0,0,True,0,0,0,5,1,0,113,0,0,-1,0,1,0,0,0,3,0,0,1473,0,2,0
0,1,True,0,False,0,0,0,0,1,0,0,4,0,1,0,0,0,1,1,1,0,0,1980.0,False,0,0,3,0,3,3,1,0,0,3,1,True,0,0,False,0,50,1,0,0,1950,0,-100,0,0,0,0,0,0,0,0,0.0,0,2,7500,2,60.0,0,1128,0,False,0,0,1,1,6,1920,0,0,0,1,0,0,0,3,698,0,3,430,False,3,0,0,0,0,0,0,0,0,4,4,0,1,2,False,4,0,0,0,0,0,528,0,0,0,False,0,0,1,4,0,0,698,0,0,0,0,1,1,0,0,3,0,0,698,0,3,0
