GarageYrBlt_miss_num,LowQualFinSF,GarageArea_miss_num,RoofStyle_Gambrel,PoolArea_binary,Alley_missing,RoofStyle_Hip,YearBuilt,BsmtFinType1_GLQ,BldgType_2fmCon,BsmtFinType2_Rec,Foundation_tipo1,Neighborhood_NPkVill,Neighborhood_BrDale,FullBath,MSSubClass,LotConfig_FR3,Neighborhood_Sawyer,2Story,BsmtExposure_grade,OverallCond,GarageFinish_grade,BsmtFinSF1_miss_num,BsmtHalfBath_miss_num,MSZoning_FV,Condition1_tipo4,Neighborhood_Veenker,LotConfig_Inside,GarageType_Detchd,BsmtUnfSF_miss_num,Neighborhood_CollgCr,Neighborhood_Somerst,Neighborhood_SawyerW,Neighborhood_ClearCr,GarageCars_miss_num,Neighborhood_NWAmes,Fireplaces,BsmtFinSF2_miss_num,Neighborhood_NAmes,Electrical_unify,RoofStyle_Shed,BsmtFinType1_Rec,LotConfig_CulDSac,LandSlope_grade,Condition1_tipo5,Neighborhood_Gilbert,FireplaceQu_grade,HeatingQC_grade,MSZoning_RL,MasVnrType_missing,LandSlope_Sev,SaleCondition_tipo2,ExterQual_grade,Neighborhood_OldTown,GarageType_Attchd,1stFlrSF,Neighborhood_SWISU,BsmtFinType1_BLQ,BsmtFinType2_BLQ,Heating_unify,Neighborhood_StoneBr,Neighborhood_Crawfor,SaleCondition_tipo3,MasVnrType_BrkFace,BsmtFinType2_missing,2.5Fin,Condition2_unify,TotalBsmtSF_miss_num,Neighborhood_IDOTRR,RoofMatl_unify,GarageCond_grade,SaleCondition_tipo1,MasVnrType_Stone,SFoyer,LotShape_grade,2.5Unf,BsmtFinType1_LwQ,BsmtFinType1_missing,GarageType_BuiltIn,Neighborhood_NoRidge,KitchenAbvGr,YearRemodAdd,OverallQual,MasVnrArea_miss_num,LotConfig_FR2,GarageQual_grade,MSZoning_RM,GarageType_CarPort,BldgType_TwnhsE,RoofStyle_Gable,Condition1_tipo2,BldgType_Twnhs,BsmtFinType2_LwQ,Neighborhood_Timber,BsmtFinType1_Unf,1.5Unf,LandSlope_Mod,Alley_Pave,BldgType_Duplex,TotRmsAbvGrd,Condition1_tipo3,MSZoning_RH,Neighborhood_BrkSide,LandContour_grade,1Story,Neighborhood_MeadowV,BsmtFullBath_miss_num,GrLivArea,SLvl,Neighborhood_NridgHt,ExterCond_grade,GarageType_missing,Street_Pave,Condition1_tipo1,Neighborhood_Edwards,KitchenQual_grade,Neighborhood_Blueste,YrSold_adj,2ndFlrSF,RoofStyle_Mansard,BedroomAbvGr,CentralAir_Y,Neighborhood_Mitchel,BsmtQual_grade,MasVnrType_None,LotFrontage_miss_num,BsmtFinType2_GLQ,HalfBath,Utilities_unify,GarageType_Basment,BsmtCond_grade,BsmtFinType2_Unf,LotArea
2003.0,0,548,0,0,1,0,2003,1,0,0,True,0,0,2,60,0,0,1,2,5,3,706,0,0,True,0,1,0,150,1,0,0,0,2,0,0,0,0,1,0,0,0,3,False,0,-100,5,1,0,0,True,4,0,1,856,0,0,0,1,0,0,False,1,0,0,1,856,0,1,3,False,0,0,4,0,0,0,0,0,1,2003,7,196.0,0,3,0,0,0,1,False,0,0,0,0,0,0,0,0,8,False,0,0,4,0,0,1,1710,0,0,3,0,1,False,0,4,0,-2,854,0,3,1,0,4,0,65.0,0,1,1,0,3,1,8450
1976.0,0,460,0,0,1,0,1976,0,0,0,False,0,0,2,20,0,0,0,5,8,3,978,1,0,False,1,0,0,284,0,0,0,0,2,0,1,0,0,1,0,0,0,3,False,0,3,5,1,0,0,True,3,0,1,1262,0,0,0,1,0,0,False,0,0,0,1,1262,0,1,3,False,0,0,4,0,0,0,0,0,1,1976,6,0.0,1,3,0,0,0,1,False,0,0,0,0,0,0,0,0,6,False,0,0,4,1,0,0,1262,0,0,3,0,1,False,0,3,0,-3,0,0,3,1,0,4,1,80.0,0,0,1,0,3,1,9600
2001.0,0,608,0,0,1,0,2001,1,0,0,True,0,0,2,60,0,0,1,3,5,3,486,0,0,True,0,1,0,434,1,0,0,0,2,0,1,0,0,1,0,0,0,3,False,0,3,5,1,0,0,True,4,0,1,920,0,0,0,1,0,0,False,1,0,0,1,920,0,1,3,False,0,0,3,0,0,0,0,0,1,2002,7,162.0,0,3,0,0,0,1,False,0,0,0,0,0,0,0,0,6,False,0,0,4,0,0,1,1786,0,0,3,0,1,False,0,4,0,-2,866,0,3,1,0,4,0,68.0,0,1,1,0,3,1,11250
1998.0,0,642,0,0,1,0,1915,0,0,0,False,0,0,1,70,0,0,1,2,5,2,216,0,0,True,0,0,1,540,0,0,0,0,3,0,1,0,0,1,0,0,0,3,False,0,4,4,1,0,0,False,3,0,0,961,0,0,0,1,0,1,True,0,0,0,1,756,0,1,3,False,0,0,3,0,0,0,0,0,1,1970,7,0.0,0,3,0,0,0,1,False,0,0,0,0,0,0,0,0,7,False,0,0,4,0,0,1,1717,0,0,3,0,1,False,0,4,0,-4,756,0,3,1,0,3,1,60.0,0,0,1,0,4,1,9550
2000.0,0,836,0,0,1,0,2000,1,0,0,True,0,0,2,60,0,0,1,4,5,3,655,0,0,True,0,0,0,490,0,0,0,0,3,0,1,0,0,1,0,0,0,3,False,0,3,5,1,0,0,True,4,0,1,1145,0,0,0,1,0,0,False,1,0,0,1,1145,0,1,3,False,0,0,3,0,0,0,0,1,1,2000,8,350.0,1,3,0,0,0,1,False,0,0,0,0,0,0,0,0,9,False,0,0,4,0,0,1,2198,0,0,3,0,1,False,0,4,0,-2,1053,0,4,1,0,4,0,84.0,0,1,1,0,3,1,14260
1993.0,0,480,0,0,1,0,1993,1,0,0,False,0,0,1,50,0,0,0,2,5,2,732,0,0,True,0,1,0,64,0,0,0,0,2,0,0,0,0,1,0,0,0,3,False,0,-100,5,1,0,0,True,3,0,1,796,0,0,0,1,0,0,False,0,0,0,1,796,0,1,3,False,0,0,3,0,0,0,0,0,1,1995,5,0.0,0,3,0,0,0,1,False,0,0,0,0,0,0,0,0,5,False,0,0,4,0,0,1,1362,0,0,3,0,1,False,0,3,0,-1,566,0,1,1,1,4,1,85.0,0,1,1,0,3,1,14115
2004.0,0,636,0,0,1,0,2004,1,0,0,True,0,0,2,20,0,0,0,4,5,3,1369,0,0,True,0,1,0,317,0,1,0,0,2,0,1,0,0,1,0,0,0,3,False,0,4,5,1,0,0,True,4,0,1,1694,0,0,0,1,0,0,False,0,0,0,1,1686,0,1,3,False,1,0,4,0,0,0,0,0,1,2005,8,186.0,0,3,0,0,0,1,False,0,0,0,0,0,0,0,0,7,False,0,0,4,1,0,1,1694,0,0,3,0,1,False,0,4,0,-3,0,0,3,1,0,5,0,75.0,0,0,1,0,3,1,10084
1973.0,0,484,0,0,1,0,1973,0,0,0,False,0,0,2,60,0,0,1,3,6,3,859,0,0,False,0,0,0,216,0,0,0,0,2,1,2,32,0,1,0,0,0,3,True,0,3,5,1,0,0,True,3,0,1,1107,0,0,1,1,0,0,False,0,0,0,1,1107,0,1,3,False,1,0,3,0,0,0,0,0,1,1973,7,240.0,0,3,0,0,0,1,False,0,0,0,0,0,0,0,0,7,False,0,0,4,0,0,1,2090,0,0,3,0,1,False,0,3,0,-1,983,0,3,1,0,4,0,-100.0,0,1,1,0,3,0,10382
1931.0,0,468,0,0,1,0,1931,0,0,0,False,0,0,2,50,0,0,0,2,5,2,0,0,0,False,0,1,1,952,0,0,0,0,2,0,2,0,0,0,0,0,0,3,False,0,3,4,0,0,0,False,3,1,0,1022,0,0,0,1,0,0,True,0,0,0,1,952,0,1,3,False,0,0,4,0,0,0,0,0,2,1950,7,0.0,0,2,1,0,0,1,False,0,0,0,1,0,0,0,0,8,False,0,0,4,0,0,0,1774,0,0,3,0,1,False,0,3,0,-2,752,0,2,1,0,3,1,51.0,0,0,1,0,3,1,6120
1939.0,0,205,0,0,1,0,1939,1,1,0,False,0,0,1,190,0,0,0,2,6,3,851,0,0,False,0,0,0,140,0,0,0,0,1,0,2,0,0,1,0,0,0,3,False,0,3,5,1,0,0,True,3,0,1,1077,0,0,0,1,0,0,False,0,0,0,0,991,0,1,3,False,0,0,4,0,0,0,0,0,2,1950,5,0.0,0,4,0,0,0,1,False,0,0,0,0,1,0,0,0,5,False,0,1,4,0,0,1,1077,0,0,3,0,1,False,0,3,0,-2,0,0,2,1,0,3,1,50.0,0,0,1,0,3,1,7420
